User ID,Name,Email Address,Username,Date of Birth,Gender,Location,Membership Start Date,Membership End Date,Subscription Plan,Payment Information,Renewal Status,Usage Frequency,Purchase History,Favorite Genres,Devices Used,Engagement Metrics,Feedback/Ratings,Customer Support Interactions,Age,Months Till Expire
1,Ronald Murphy,williamholland@example.com,williamholland,1953-06-03,Male,Rebeccachester,2024-01-15,2025-01-14,Annual,Mastercard,Manual,Regular,Electronics,Documentary,Smart TV,Medium,3.6,3,71,0
2,Scott Allen,scott22@example.org,scott22,1978-07-08,Male,Mcphersonview,2022-01-07,2023-01-06,Monthly,Visa,Manual,Regular,Electronics,Horror,Smartphone,Medium,3.8,7,46,0
3,Jonathan Parrish,brooke16@example.org,brooke16,1994-12-06,Female,Youngfort,2022-04-13,2023-04-13,Monthly,Mastercard,Manual,Regular,Books,Comedy,Smart TV,Low,3.3,8,30,0
4,Megan Williams,elizabeth31@example.net,elizabeth31,1964-12-22,Female,Feliciashire,2023-01-24,2024-01-23,Monthly,Amex,Auto-renew,Regular,Electronics,Documentary,Smart TV,High,3.3,7,60,0
5,Kathryn Brown,pattersonalexandra@example.org,pattersonalexandra,1961-06-04,Male,Port Deborah,2024-02-14,2024-06-13,Monthly,Visa,Manual,Frequent,Clothing,Drama,Smart TV,Low,3.0,1,63,0
6,Sandra Cox,gparks@example.org,gparks,1954-09-19,Female,Lake Johnathan,2024-01-15,2024-10-14,Monthly,Amex,Manual,Occasional,Books,Action,Tablet,Low,3.8,2,70,0
7,Benjamin Marshall,michaellewis@example.net,michaellewis,2003-02-09,Male,Carlsonchester,2023-04-08,2024-04-08,Monthly,Amex,Auto-renew,Frequent,Clothing,Sci-Fi,Tablet,Medium,4.4,10,22,0
8,James Smith,adrienne49@example.org,adrienne49,1946-10-04,Male,West Matthewborough,2024-02-16,2025-02-15,Monthly,Visa,Manual,Regular,Electronics,Horror,Smart TV,Medium,3.6,6,78,0
9,Bradley Green,brittany02@example.net,brittany02,1950-12-24,Female,Karenshire,2022-04-09,2024-04-09,Annual,Amex,Manual,Frequent,Electronics,Documentary,Smartphone,Medium,4.0,8,74,0
10,Kayla Hernandez,jessica53@example.net,jessica53,1963-06-16,Female,West Stephen,2024-03-10,2025-03-10,Monthly,Visa,Auto-renew,Frequent,Clothing,Drama,Tablet,High,4.9,6,61,0
11,Douglas Hampton,tonya16@example.com,tonya16,1997-11-28,Female,Cynthiaport,2022-03-24,2023-03-24,Monthly,Visa,Manual,Regular,Books,Documentary,Smart TV,Low,4.0,1,27,0
12,Andrew Gomez,brian80@example.org,brian80,1952-09-08,Female,Hillberg,2024-03-07,2025-03-07,Annual,Amex,Manual,Regular,Books,Horror,Smart TV,Low,4.4,6,72,0
13,Kevin Mayo,hochoa@example.net,hochoa,1981-11-18,Female,Michaeltown,2024-01-10,2025-01-09,Monthly,Amex,Auto-renew,Regular,Clothing,Action,Tablet,Medium,4.7,0,43,0
14,Gregory Thomas,egriffin@example.com,egriffin,1989-08-17,Female,Harrisport,2022-01-07,2023-01-06,Monthly,Amex,Manual,Frequent,Books,Horror,Tablet,Low,3.0,0,35,0
15,Melanie Burns,meyerstacy@example.net,meyerstacy,2003-04-07,Male,East Janetfurt,2024-02-23,2025-02-22,Annual,Visa,Manual,Regular,Clothing,Sci-Fi,Smartphone,Medium,4.9,10,21,0
16,Brittany Crane,jasonbowers@example.org,jasonbowers,1993-03-19,Female,Port Jeremyfurt,2024-01-03,2025-01-02,Annual,Amex,Manual,Occasional,Books,Horror,Smartphone,Low,5.0,0,31,0
17,Robert Gonzalez,cday@example.com,cday,1952-05-02,Female,Quinnberg,2022-03-25,2023-03-25,Monthly,Visa,Manual,Regular,Clothing,Romance,Smartphone,Low,3.0,3,72,0
18,Mindy Baxter,phumphrey@example.net,phumphrey,1978-11-16,Female,New Brandon,2024-01-23,2024-05-22,Monthly,Amex,Manual,Regular,Clothing,Documentary,Tablet,Low,3.0,6,46,0
19,Michael Smith,paige55@example.org,paige55,1945-08-30,Female,South Michaelhaven,2024-01-27,2024-03-26,Monthly,Visa,Manual,Occasional,Books,Documentary,Smart TV,Low,3.0,6,79,0
20,Joseph Owens,christopher25@example.org,christopher25,1979-09-29,Female,Port Derekton,2024-03-15,2025-03-15,Annual,Mastercard,Manual,Occasional,Books,Sci-Fi,Tablet,Medium,4.6,2,45,0
21,Devin Wolf,jacobrobinson@example.com,jacobrobinson,1956-07-05,Male,New Matthewbury,2024-03-15,2025-03-15,Monthly,Visa,Manual,Regular,Electronics,Action,Tablet,Low,4.2,6,68,0
22,Heidi Brock,karen47@example.org,karen47,1967-02-17,Female,Lake Gloriaport,2024-01-15,2025-01-14,Monthly,Amex,Manual,Regular,Clothing,Sci-Fi,Smart TV,Low,3.9,2,58,0
23,Tracy Hardin,ronald82@example.net,ronald82,1996-02-13,Female,North Audrey,2023-04-14,2024-04-14,Monthly,Visa,Auto-renew,Regular,Books,Comedy,Smart TV,High,4.3,7,29,0
24,Maria White,castillokatie@example.com,castillokatie,1968-06-19,Female,West Raymond,2024-03-26,2025-03-26,Annual,Mastercard,Manual,Regular,Electronics,Drama,Smart TV,High,4.8,0,56,1
25,Eric Johnson,lgreer@example.org,lgreer,1994-10-02,Female,North Jacob,2024-01-18,2025-01-17,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Sci-Fi,Smartphone,High,4.6,4,30,0
26,Kenneth Jones,glen97@example.net,glen97,1986-09-22,Female,Shafferland,2024-02-12,2025-02-11,Monthly,Mastercard,Auto-renew,Occasional,Electronics,Comedy,Smart TV,High,3.8,7,38,0
27,Joel Cole,nyates@example.com,nyates,2005-03-29,Female,West Richardbury,2024-02-19,2025-02-18,Monthly,Visa,Manual,Occasional,Electronics,Horror,Smart TV,High,3.6,0,19,0
28,Brittany Noble,carol56@example.com,carol56,1976-11-05,Female,New John,2024-01-26,2025-01-25,Monthly,Visa,Auto-renew,Occasional,Clothing,Comedy,Smart TV,Medium,3.0,9,48,0
